% Model,grating_2D_bands.mph
% Version,COMSOL 5.3.0.223
% Date,"Sep 14 2019, 08:53"
% Table,Table 1 - Global Evaluation 2 (freq_filtered)
% Kx,"Solution=1, freq_filtered (Hz)","Solution=2, freq_filtered (Hz)","Solution=3, freq_filtered (Hz)","Solution=4, freq_filtered (Hz)","Solution=5, freq_filtered (Hz)","Solution=6, freq_filtered (Hz)","Solution=7, freq_filtered (Hz)","Solution=8, freq_filtered (Hz)","Solution=9, freq_filtered (Hz)","Solution=10, freq_filtered (Hz)","Solution=11, freq_filtered (Hz)","Solution=12, freq_filtered (Hz)","Solution=13, freq_filtered (Hz)","Solution=14, freq_filtered (Hz)","Solution=15, freq_filtered (Hz)","Solution=16, freq_filtered (Hz)","Solution=17, freq_filtered (Hz)","Solution=18, freq_filtered (Hz)","Solution=19, freq_filtered (Hz)","Solution=20, freq_filtered (Hz)","Solution=21, freq_filtered (Hz)","Solution=22, freq_filtered (Hz)","Solution=23, freq_filtered (Hz)","Solution=24, freq_filtered (Hz)","Solution=25, freq_filtered (Hz)"
0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4909308603117435,NaN,NaN,NaN,NaN,0.6313561689058276,NaN,NaN,0.6627787642259807,NaN
0.1,NaN,NaN,0.049470686576731634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4888813293890061,NaN,NaN,NaN,NaN,0.6306039833272828,0.6644284618673554,NaN
0.2,NaN,0.09840277316906595,0.09890044859312364,0.11655146011786084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4828991689514281,NaN,NaN,NaN,NaN,0.6281726801575281,NaN,0.6692037275474042,NaN
0.30000000000000004,NaN,0.13157204535168454,0.14823928707766296,0.16138840641878358,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4734455351064583,NaN,NaN,NaN,NaN,0.6235389365835425,NaN,NaN,0.6766006224190753
0.4,NaN,0.16304618102946153,0.19741554733988734,0.2086293608663572,0.23176142738645966,0.23557973034588336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4610678929910147,NaN,NaN,NaN,NaN,NaN,0.6159019046041454,NaN,NaN,0.6858764830227231
0.5,NaN,NaN,0.19111421720629101,0.24631466451116524,0.256928085942123,0.2739033522011667,0.27904366737901115,0.2857924515809144,0.30796535815172654,NaN,NaN,NaN,NaN,0.4466605742685407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6044163244782905,NaN,NaN,0.6961782324206189
0.6000000000000001,NaN,0.21548377630978285,0.294740283507949,0.30577666127179826,0.3179719429275323,0.3244393335320328,0.3283309969040556,0.34938128604588786,NaN,NaN,NaN,NaN,0.43165582889705334,NaN,NaN,NaN,NaN,NaN,0.5885136231707699,NaN,NaN,NaN,0.6687406637296809,0.7025253643878466,0.702799111714925
0.7000000000000001,0.2360778965945661,0.342344998551485,0.35494529872664377,0.3633355700161025,0.3710333869673784,0.37290436418709966,0.3928253941255111,0.4143129546976072,0.42233420847499054,0.42915652089267176,0.4430210901931982,NaN,NaN,NaN,NaN,NaN,0.5678903882541236,NaN,NaN,NaN,0.6526503957130626,0.6531948723295234,0.6595847917713475,0.6620910470287827,0.6660061856609888
0.8,0.2523632442541828,0.38854056793944913,0.4008702087789117,0.4043148886064018,0.4097907338554009,0.41840714215262875,0.4241912399949187,0.4376525236939902,0.46189459429500224,0.4701881746302803,0.48037818471301197,0.4991217976755747,NaN,0.5418368926462289,NaN,NaN,NaN,0.6028091738802637,0.6037776224384064,0.6106892792172659,0.6133069984708969,0.6245222793716335,0.631455405585907,0.6363723850408793,0.6516503593154628
0.9,0.39721270916158485,0.4325063656726975,0.4538139288182176,0.45730978653273924,0.46630124810140866,0.46889106460492674,0.48340087046318114,0.5030586304769924,0.5104473980167379,0.5127448759640508,0.5205315021913215,0.5391594394667049,0.552999142931886,0.5545712870092556,0.5627195081071376,0.5647061617456093,NaN,0.5765548949019471,NaN,0.5875700705454246,NaN,0.5970679264474071,0.6068580269863647,NaN,0.6220456665938993
1,0.39506096681765934,0.4706297382773016,0.4765802024245845,0.5029560449495013,0.5037400454230248,0.5056233521739276,0.5057708425441907,0.5140959317518213,0.5149250337034283,0.5160785509186895,0.5168233512147836,0.5264856014427332,0.5327245622313509,0.543784373520718,0.5464055541507477,0.5541251945630594,0.5578832068398768,0.5620868281645313,0.5638268754235641,0.5736063450732884,0.5874001528448072,0.6042789605892388,0.6097864480302114,NaN,NaN
